kanži	osion nro	target/joyo/komponentti	komponentit	kaikki lukutavat	kirjan lukutavat	suomennos	korpuksesta esimerkkisanat	esim1	esim 1 suomeksi	esim 2	esim 2 suomeksi	esim 3	esim 3 suomeksi	muu esim	muu esim suomeksi	esimerkkilauseet korpuksesta	kirjan esimerkkilauseet	kirjan lauseet suomeksi	tehtävä 1	tehtävä 1 vastaus	tehtävä 2	tehtävä 2 vastaus																
一	1	target	一	イチ,イツ,ひと-,ひと.つ	ひと（つ）、イチ	yksi	一[いち] (yleisyys: 23.),一[ひと] (yleisyys: 146.),一人[ひとり] (yleisyys: 234.),一寸[ちょっと] (yleisyys: 287.),一般[いっぱん] (yleisyys: 338.)												コーヒーを（）ください。	一[ひとつ]		
二	1	target	二	ニ,ジ,ふた,ふた.つ,ふたたび		kaksi	二[に] (yleisyys: 28.),二十[にじゅう] (yleisyys: 66.),二千[にせん] (yleisyys: 193.),二百[にひゃく] (yleisyys: 239.),二人[ふたり] (yleisyys: 252.)															
三	1	target	三	サン,ゾウ,み,み.つ,みっ.つ		kolme	三[さん] (yleisyys: 32.),三十[さんじゅう] (yleisyys: 89.),三百[さんびゃく] (yleisyys: 368.),三[み] (yleisyys: 586.),三千[さんぜん] (yleisyys: 675.)															
四	1	target	四	シ,よ,よ.つ,よっ.つ,よん		neljä	四[よん] (yleisyys: 49.),四十[よんじゅう] (yleisyys: 136.),四百[よんひゃく] (yleisyys: 499.),四[し] (yleisyys: 673.),四千[よんせん] (yleisyys: 1136.)															
五	1	target	五	ゴ,いつ,いつ.つ		viisi	五[ご] (yleisyys: 44.),五十[ごじゅう] (yleisyys: 109.),五百[ごひゃく] (yleisyys: 341.),五千[ごせん] (yleisyys: 799.),五[いつ] (yleisyys: 1450.)															
六	1	target	亠八	ロク,リク,む,む.つ,むっ.つ,むい		kuusi	六[ろく] (yleisyys: 65.),六十[ろくじゅう] (yleisyys: 161.),六百[ろっぴゃく] (yleisyys: 568.),六千[ろくせん] (yleisyys: 1309.),六[む] (yleisyys: 2141.)															
七	1	target	七	シチ,なな,なな.つ,なの		seitsemän	七[なな] (yleisyys: 75.),七十[ななじゅう] (yleisyys: 184.),七[しち] (yleisyys: 518.),七百[ななひゃく] (yleisyys: 579.),七千[ななせん] (yleisyys: 1593.)															
八	1	target	八	ハチ,や,や.つ,やっ.つ,よう		kahdeksan	八[はち] (yleisyys: 70.),八十[はちじゅう] (yleisyys: 170.),八百[はっぴゃく] (yleisyys: 349.),八千[はっせん] (yleisyys: 1507.),八[や] (yleisyys: 2228.)															
九	1	target	九	キュウ,ク,ここの,ここの.つ		yhdeksän	九[きゅう] (yleisyys: 76.),九百[きゅうひゃく] (yleisyys: 119.),九十[きゅうじゅう] (yleisyys: 163.),九千[きゅうせん] (yleisyys: 1610.),九[ここの] (yleisyys: 2578.)															
十	1	target	十	ジュウ,ジッ,ジュッ,とお,と		kymmenen	十[じゅう] (yleisyys: 33.),二十[にじゅう] (yleisyys: 66.),三十[さんじゅう] (yleisyys: 89.),五十[ごじゅう] (yleisyys: 109.),四十[よんじゅう] (yleisyys: 136.)															
年	1	target	年	ネン,とし		vuosi	年[ねん] (yleisyys: 42.),年度[ねんど] (yleisyys: 273.),年間[ねんかん] (yleisyys: 564.),年金[ねんきん] (yleisyys: 750.),今年[ことし] (yleisyys: 845.)															
生	1	target	生	セイ,ショウ,い.きる,い.かす,い.ける,う.まれる,うま.れる,う.まれ,うまれ,う.む,お.う,は.える,は.やす,き,なま,なま-,な.る,な.す,む.す,-う		Kanjin merkityksiä englanniksi: life, genuine, birth;	生活[せいかつ] (yleisyys: 196.),先生[せんせい] (yleisyys: 320.),生[せい] (yleisyys: 330.),生きる[いきる] (yleisyys: 421.),生産[せいさん] (yleisyys: 465.)															
人	1	target	人	ジン,ニン,ひと,-り,-と		ihminen	人[ひと] (yleisyys: 67.),人[にん] (yleisyys: 132.),人[じん] (yleisyys: 138.),人間[にんげん] (yleisyys: 192.),一人[ひとり] (yleisyys: 234.)															
日	1	target	日	ニチ,ジツ,ひ,-び,-か		Kanjin merkityksiä englanniksi: day, sun, Japan, counter for days;	日本[にっぽん] (yleisyys: 78.),日[にち] (yleisyys: 106.),日[ひ] (yleisyys: 150.),日[か] (yleisyys: 169.),今日[きょう] (yleisyys: 247.)															
本	1	target	木一	ホン,もと		Kanjin merkityksiä englanniksi: book, present, main, origin, true, real, counter for long cylindrical things;	日本[にっぽん] (yleisyys: 78.),本当[ほんとう] (yleisyys: 248.),基本[きほん] (yleisyys: 367.),本[ほん] (yleisyys: 538.),本[ほん] (yleisyys: 539.)															
大	1	target	大	ダイ,タイ,おお-,おお.きい,-おお.いに		suuri	大[だい] (yleisyys: 213.),大きい[おおきい] (yleisyys: 233.),大きな[おおきな] (yleisyys: 282.),大学[だいがく] (yleisyys: 318.),大臣[だいじん] (yleisyys: 534.)															
小	1	target	小	ショウ,ちい.さい,こ-,お-,さ-		pieni	小[しょう] (yleisyys: 399.),小さい[ちいさい] (yleisyys: 714.),小さな[ちいさな] (yleisyys: 726.),小説[しょうせつ] (yleisyys: 1433.),小学[しょうがく] (yleisyys: 1839.)															
中	1	target	中	チュウ,なか,うち,あた.る		Kanjin merkityksiä englanniksi: in, inside, middle, mean, center;	中[なか] (yleisyys: 82.),中[ちゅう] (yleisyys: 208.),中国[ちゅうごく] (yleisyys: 390.),中心[ちゅうしん] (yleisyys: 413.),中[ちゅう] (yleisyys: 729.)															
分	1	target	八刀	ブン,フン,ブ,わ.ける,わ.け,わ.かれる,わ.かる,わ.かつ		Kanjin merkityksiä englanniksi: part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100;	自分[じぶん] (yleisyys: 87.),分かる[わかる] (yleisyys: 105.),分[ふん] (yleisyys: 238.),部分[ぶぶん] (yleisyys: 344.),分[ぶん] (yleisyys: 476.)															
月	1	target	月	ゲツ,ガツ,つき		kuu; kuukausi	月[がつ] (yleisyys: 69.),箇月[かげつ] (yleisyys: 488.),月[つき] (yleisyys: 1101.),正月[しょうがつ] (yleisyys: 3161.),毎月[まいつき] (yleisyys: 3327.)															
何	2	target	亻可	カ,なに,なん,なに-,なん-		mikä?	何[なに] (yleisyys: 62.),何時[いつ] (yleisyys: 202.),何処[どこ] (yleisyys: 240.),何[なん] (yleisyys: 277.),何の[どの] (yleisyys: 323.)															
古	2	target	十口	コ,ふる.い,ふる-,-ふる.す		vanha	古い[ふるい] (yleisyys: 1190.),古代[こだい] (yleisyys: 2464.),古典[こてん] (yleisyys: 4049.),稽古[けいこ] (yleisyys: 4502.),古墳[こふん] (yleisyys: 4728.)															
新	2	target	亲斤	シン,あたら.しい,あら.た,あら-,にい-		uusi	新しい[あたらしい] (yleisyys: 388.),新[しん] (yleisyys: 451.),新聞[しんぶん] (yleisyys: 664.),新た[あらた] (yleisyys: 920.),更新[こうしん] (yleisyys: 2114.)															
明	2	target	日月	メイ,ミョウ,ミン,あ.かり,あか.るい,あか.るむ,あか.らむ,あき.らか,あ.ける,-あ.け,あ.く,あ.くる,あ.かす		Kanjin merkityksiä englanniksi: bright, light;	説明[せつめい] (yleisyys: 374.),明らか[あきらか] (yleisyys: 732.),明日[あす] (yleisyys: 910.),明治[めいじ] (yleisyys: 1038.),明るい[あかるい] (yleisyys: 1374.)															
